location,time_seq,gen_capacity,category,value
4,7614,1.00012931136906,GC,0.2077906851625708
1,9356,3.78,GG,1.1719822257330414
3,3842,1.0,GC,0.11026482619113794
1,10051,3.779805189949591,CL,0.0
1,17102,3.78,CL,0.001707911510443808
4,12764,1.0,GC,0.11210465284109915
2,5497,1.618737041409858,GC,0.0
1,17193,3.78,CL,0.0
3,9485,1.000010945934903,CL,1.0985097908490484
3,14853,1.0,GG,0.41925827389109094
5,10098,1.0,CL,0.34419739818865924
5,17141,1.0,GG,0.09522598414499148
5,13886,1.0,CL,0.0
4,3333,1.0000402373831778,CL,0.22498781816161537
5,5629,1.0,GC,0.3911097422031062
3,7488,1.0001069292556042,CL,0.0013305414119290165
1,4636,3.777931293862734,GC,0.906765257004904
1,4275,3.7797178148930306,CL,0.00027641432981997347
4,13799,1.0,GC,0.16390407100760765
4,10698,1.0,GC,0.0
5,4470,1.0,GC,0.22917576457470146
5,9843,1.0,GC,0.16092281722188384
4,8766,1.0,GC,0.21423939524158198
1,5448,3.7799642891479563,CL,0.00012299503558717346
1,3821,3.7787854905739073,CL,0.5116785344054557
2,8534,1.619465105166091,CL,0.0005049343035565375
4,12359,1.0,GC,0.22822533025962805
2,1050,1.6189201650492704,CL,0.0
4,14289,1.0,CL,0.0
5,7159,1.0,CL,0.000751708831981743
1,14846,3.77845226166208,CL,0.0
4,13403,1.0,GG,0.08751610608910074
3,3476,1.0,GC,0.13104600241178516
1,9628,3.778621321845241,GC,0.25948185739293833
4,11636,1.0000635711946662,GC,0.19623619537529258
2,4133,1.619033900911309,GC,0.0
4,10112,1.0,GC,0.1076235150661363
4,3854,1.0005006463088675,CL,0.0017151579017085413
4,7380,1.0,GG,0.2533582167060481
2,3841,1.6193216348033659,CL,0.0
2,6910,1.6196936996169617,CL,0.0
1,15275,3.7791378630154364,CL,0.0
1,7130,3.78,GC,0.0959627164909204
2,3567,1.6197922116979382,CL,0.0
4,3679,1.0,GC,0.2420782935641823
5,7348,1.0,CL,0.0005944996323791337
1,8727,3.7799021161767423,CL,0.0016533563466426086
5,14654,1.0,CL,0.0
5,1799,1.0,GC,0.11661042261614606
4,3347,1.000005003032517,GC,0.23112390476630607
2,5912,1.6189856889977783,GC,1.3677614322328815
2,9696,1.6188143946157385,GC,0.2229478016174619
3,8615,1.0,CL,0.0015596916255917154
4,2953,1.000526814429513,GC,0.2009318096088665
3,15852,1.0,CL,0.00022121507490241123
2,10487,1.6188597730643255,GC,0.15131094219821387
1,9610,3.78,GG,0.2600544209196543
4,15072,1.0,GC,0.32434096305774324
5,17432,1.0,CL,0.0006336508078240388
3,3661,1.0,GG,0.0007316324472601866
5,11585,3.7797507900398357,GC,0.2145708447267815
5,6118,1.0,GC,0.21585324403656772
5,8523,1.0,CL,0.0008571500374547822
1,16316,3.7798950368518898,GC,0.27459056087349815
3,2125,1.0,GG,0.0005684836504892667
1,12927,3.78,GG,1.2720120984391665
5,8021,1.0000374696315169,GC,0.3347499555945996
1,5768,3.7791908260565807,CL,0.0004997108753933972
1,12783,3.779762614554668,CL,0.0006324308260085172
4,12908,1.0,GC,0.08317412755378482
1,13199,3.78,CL,0.00017425789210359454
3,3620,1.0,GC,1.4219787832580382
4,16545,1.0,GC,0.3040098325188185
5,12803,1.0,CL,0.0014898749058911242
2,9816,1.6192982861002856,GC,0.2751353038286424
2,1542,1.6193649756775492,CL,0.0
5,8197,1.0000073044592455,GC,0.0975041899497666
3,2031,1.0002754197718913,GC,1.1674499353151442
1,16330,3.779255393086376,CL,0.0
4,15905,1.0001160981554629,GC,0.07279198205912375
1,4354,3.78,GC,0.23649815422862663
4,13093,1.0,GC,0.2736790267280198
2,11507,1.6195066132627072,CL,0.0005669109910898959
2,16600,1.6195742645320796,CL,0.0
2,12782,1.6192289516546747,GG,0.0
4,8156,1.0,GC,0.32656467131583183
2,1554,1.6180094307227197,CL,0.0
3,16289,1.0000076206081354,CL,0.0
4,9159,1.0000134951779185,GG,0.0005896472782484505
5,1618,1.0000407016208541,GC,0.08794167503538436
1,14588,3.778596267512629,CL,0.0010355237264769318
5,17372,1.0,GC,0.17501104958837485
3,14973,1.0000817927464232,GC,0.1833171296006719
4,14359,1.000018834042627,CL,0.0
2,42,1.6200837709164102,GC,0.46326644684058454
4,3675,1.0,GC,0.12082088422748032
2,7747,1.6195730253571028,CL,0.0
3,5550,1.0,GG,0.4626639405205246
3,6450,1.0001413109950053,CL,0.40299576169913126
4,597,1.0,CL,0.0
5,16298,1.0,GG,0.00034776383558694573
4,13162,1.0,CL,0.0013323279785118483
1,3153,3.78,GC,0.22132842100885292
1,10592,3.77631316979953,CL,0.0
3,5764,1.0,GG,0.533059386985151
3,2654,1.0001112065284028,GC,0.07115973243923888
3,4514,1.0,CL,1.9371352449325108
1,15894,3.778364993169735,CL,0.0008912966033840391
4,9645,1.0,CL,0.3056773546852057
1,9738,3.77990890933964,CL,0.0002155224080507181
5,7138,1.0,GC,0.3988276652085173
4,3030,1.0,CL,0.0015922642827140847
1,14195,3.779715642728444,GC,0.000809895894184908
3,11033,1.0,CL,0.0
1,1247,3.77942316062817,GC,0.19741007828026005
2,16176,1.6189855102933637,CL,0.0
4,1088,1.0,GC,0.27924390692957424
3,8369,1.0,CL,0.00019114448558126785
3,10584,1.0,GC,0.1923192252160409
4,3701,1.0,GC,0.12080402840527865
1,9581,3.7791637025884746,CL,0.0012328483425462064
2,5412,1.6190087696800777,CL,0.0
4,15326,1.0,GC,0.051075686306494485
5,2466,1.0,GG,0.3267877983055119
5,10062,1.0,CL,0.0009753198620437213
3,2814,1.0005432215767929,GC,0.09754077895576506
1,15909,3.78,GC,0.49166872962611013
5,11683,1.0001385272650387,CL,0.0023579194761415468
2,14610,1.619154487969435,CL,0.0
1,9320,3.78,GC,0.10139861909232767
5,14960,1.0,CL,0.47613663507564263
2,8538,1.6192187330308738,CL,7.970898366342199e-05
2,9267,1.6190492573049535,CL,0.0
1,3438,3.78,CL,1.3834489340187786
1,16641,3.7781394135537796,CL,0.0
4,6174,1.0,GC,0.10292077853189516
1,15437,3.779016786647694,GG,0.1031113104396649
2,10620,1.6187195331082593,CL,0.0
3,8483,1.0,CL,0.0008504526961691076
5,11223,1.0,CL,2.8931285010637173e-05
3,12561,1.0,GG,0.00020738365977945197
3,14488,1.0,GC,0.11666061959540278
3,6006,1.0,GG,0.1079103168944189
2,10171,1.618758080790265,GG,0.0
3,4742,1.0,CL,0.0005548059124908603
4,15692,1.0,CL,0.0
4,3329,1.0,CL,0.0
5,11334,1.000013708046748,CL,0.0
3,3371,1.000034689882045,GC,0.11100882428073769
2,2513,1.6187456903307815,GG,0.0
3,3960,1.0002252767329436,GC,0.774777467970193
1,16423,3.778089399363999,CL,0.0
5,14429,1.0,GC,0.1714590133845129
5,5193,1.0,CL,0.00036550615473525297
4,13574,1.0000234984748333,GC,0.1049567268512964
3,2042,1.0,GG,0.9311038339080894
2,14190,1.619652688530799,CL,0.0
2,13535,1.6196630687627438,GC,0.0
1,4486,3.7774595120133156,GC,0.08555684679158929
2,10112,1.618791438230854,GC,0.09238736404669447
2,13648,1.6195818871749825,GC,0.18097460604332752
5,8478,1.0,GC,0.15397950459992238
4,10439,1.0,GC,0.7939528940517949
4,4055,1.0,CL,0.0
3,2814,1.0,GC,0.1090588330825607
3,11517,1.0,GC,0.322131150385996
5,1,1.0000254044510222,GG,0.15432669455391276
4,5665,1.0,GG,0.08770461535905273
1,11179,3.7789032765607895,CL,1.9278441297828704e-05
2,6744,1.0,CL,0.0014009445776681313
2,772,1.620191648017293,GC,0.15995776028119346
