location,time_seq,gen_capacity,CL,GC,GG
3,1,1.0,0.0,0.065,0.0
3,4,1.0,1.0,0.675,0.0
3,7,1.0,0.0,0.705,0.0
3,11,1.0,0.0,0.71,0.0
3,14,1.0,0.0,0.841,0.0
3,17,1.0,0.0,0.837,0.025
3,19,1.0,0.0,0.734,0.056
3,20,1.0,0.0,0.617,0.106
3,23,1.0,0.0,0.419,0.319
3,24,1.0,0.0,0.402,0.356
3,29,1.0,0.0,0.428,0.225
3,30,1.0,0.0,0.412,0.225
3,32,1.0,0.0,0.394,0.069
3,34,1.0,0.0,0.505,0.013
3,35,1.0,0.0,0.524,0.0
3,37,1.0,0.0,1.138,0.0
3,40,1.0,0.0,0.548,0.0
3,42,1.0,0.0,0.474,0.0
3,43,1.0,0.0,0.474,0.0
3,45,1.0,0.0,0.503,0.0
3,46,1.0,0.0,0.625,0.0
3,48,1.0,0.0,0.069,0.0
3,52,1.0,1.645,0.068,0.0
3,53,1.0,0.0,0.07,0.0
3,55,1.0,0.0,0.059,0.0
3,56,1.0,0.0,0.057,0.0
3,62,1.0,0.0,0.077,0.0
3,63,1.0,0.0,0.052,0.0
3,66,1.0,0.0,0.142,0.044
3,70,1.0,0.0,0.044,0.094
3,73,1.0,0.0,0.05,0.088
3,75,1.0,0.0,1.018,0.044
3,76,1.0,0.0,0.983,0.05
3,77,1.0,0.0,0.706,0.044
3,79,1.0,0.0,0.477,0.038
3,81,1.0,0.0,0.637,0.019
3,88,1.0,0.0,0.082,0.0
3,91,1.0,0.0,0.085,0.0
3,93,1.0,0.0,0.063,0.0
3,96,1.0,0.0,0.065,0.0
3,98,1.0,2.048,0.079,0.0
3,100,1.0,0.0,0.061,0.0
3,101,1.0,0.0,0.057,0.0
3,102,1.0,0.0,0.076,0.0
3,106,1.0,1.032,0.116,0.0
3,107,1.0,0.0,0.049,0.0
3,108,1.0,0.0,0.098,0.006
3,109,1.0,0.0,0.057,0.0
3,110,1.0,0.0,0.082,0.0
3,111,1.0,0.0,0.089,0.0
3,115,1.0,0.0,0.053,0.019
3,116,1.0,0.0,0.583,0.019
3,118,1.0,0.0,1.311,0.319
3,120,1.0,0.0,0.057,0.356
3,122,1.0,0.0,0.068,0.344
3,123,1.0,0.0,0.066,0.331
3,125,1.0,0.0,0.062,0.269
3,127,1.0,0.0,0.052,0.181
3,128,1.0,0.0,0.061,0.119
3,137,1.0,0.0,0.495,0.0
3,138,1.0,0.0,1.225,0.0
3,139,1.0,0.0,0.922,0.0
3,140,1.0,0.0,0.063,0.0
3,143,1.0,0.0,0.07,0.0
3,145,1.0,0.0,0.065,0.0
3,148,1.0,0.0,0.059,0.0
3,149,1.0,0.0,0.076,0.0
3,150,1.0,0.0,0.035,0.0
3,152,1.0,0.0,0.067,0.0
3,153,1.0,0.784,0.037,0.0
3,156,1.0,0.0,0.088,0.0
3,158,1.0,0.0,0.077,0.0
3,159,1.0,0.0,0.044,0.0
3,160,1.0,0.0,0.069,0.006
3,162,1.0,0.0,0.118,0.038
3,164,1.0,0.0,0.03,0.063
3,166,1.0,0.0,0.055,0.163
3,167,1.0,0.0,0.055,0.2
3,168,1.0,0.0,0.072,0.125
3,169,1.0,0.0,0.048,0.319
3,175,1.0,0.0,0.041,0.119
3,176,1.0,0.0,0.032,0.1
3,178,1.0,0.0,0.49,0.019
3,180,1.0,0.0,0.92,0.0
3,181,1.0,0.0,1.237,0.0
3,182,1.0,0.0,0.966,0.0
3,183,1.0,0.0,0.933,0.0
3,184,1.0,0.0,0.913,0.0
3,185,1.0,0.0,0.92,0.0
3,186,1.0,0.0,0.923,0.0
3,190,1.0,0.0,0.07,0.006
3,191,1.0,0.0,0.066,0.0
3,194,1.0,2.005,0.064,0.0
3,196,1.0,0.124,0.07,0.0
3,198,1.0,0.0,0.058,0.0
3,199,1.0,0.0,0.054,0.0
3,200,1.0,0.0,0.053,0.0
3,203,1.0,0.0,0.107,0.0
3,204,1.0,0.0,0.056,0.0
3,206,1.0,0.0,0.072,0.0
3,208,1.0,0.0,0.048,0.0
3,209,1.0,0.0,0.539,0.025
3,210,1.0,0.0,1.193,0.05
3,211,1.0,0.0,0.843,0.063
3,212,1.0,0.0,0.732,0.025
3,214,1.0,0.0,0.576,0.063
3,215,1.0,0.0,0.528,0.15
3,216,1.0,0.0,0.465,0.181
3,217,1.0,0.0,0.445,0.225
3,218,1.0,0.0,0.439,0.156
3,219,1.0,0.0,0.424,0.125
3,220,1.0,0.0,0.419,0.094
3,222,1.0,0.0,0.486,0.044
3,225,1.0,0.0,0.092,0.025
3,226,1.0,0.0,0.115,0.0
3,229,1.0,0.0,0.138,0.0
3,230,1.0,0.0,0.59,0.0
3,231,1.0,0.0,0.404,0.0
3,232,1.0,0.0,0.172,0.0
3,234,1.0,0.0,0.079,0.0
3,236,1.0,0.0,0.062,0.0
3,237,1.0,0.0,0.079,0.0
3,239,1.0,0.0,0.077,0.0
3,240,1.0,0.0,1.171,0.0
3,241,1.0,0.0,0.817,0.0
3,242,1.0,1.684,0.639,0.0
3,243,1.0,0.0,0.544,0.0
3,244,1.0,0.0,0.476,0.0
3,245,1.0,0.0,0.479,0.0
3,246,1.0,0.0,0.479,0.0
3,247,1.0,0.0,0.48,0.0
3,248,1.0,0.0,0.528,0.006
3,249,1.0,0.0,0.494,0.0
3,250,1.0,0.0,0.458,0.0
3,251,1.0,0.0,0.471,0.0
3,252,1.0,0.136,0.463,0.0
3,253,1.0,0.939,0.455,0.0
3,254,1.0,1.142,1.429,0.0
3,256,1.0,0.0,0.058,0.0
3,257,1.0,0.0,0.056,0.006
3,258,1.0,0.0,0.051,0.0
3,259,1.0,0.0,0.049,0.019
3,261,1.0,0.0,0.046,0.05
